condition,method,seed,AP_percent,AP50_percent,AP75_percent,per_class_AP_percent,selection_fraction,harmful_selection_fraction,mean_frame_risk,paired_sequence_risk_delta,utility
clean,task_only,,62.32842133589812,78.5763299149019,69.67570609737066,"[83.2449159413077, 82.01559814586074, 39.946699772009865, 44.106471484414186]",,,,,
clean,cure,,61.46852524609443,77.5433292753851,69.44618300991094,"[83.07143634821811, 82.22146427516444, 35.614346319943465, 44.96685404105169]",,,,,
clean,modality_dropout,,61.74123413987785,77.73473188998724,68.36204790362369,"[83.06752945066937, 82.41052014955551, 37.96609468196074, 43.52079227732574]",,,,,
clean,positive_mean,11,62.047194236954525,78.22572513586974,69.29641756188963,"[83.13788694983943, 82.16376707657943, 38.70816943441497, 44.178953486984284]",0.3780241935483871,0.18346774193548387,0.5184980630874634,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.009192466180363677, -0.00010879440996564164], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.003726649689526281}","{""MAE"": 0.0693349689245224, ""RMSE"": 0.10895711183547974, ""empirical_band_coverage"": 1.0, ""sign_agreement"": 0.5080645161290323}"
clean,fitting_RMS_margin,11,62.343249713722535,78.61998677035635,69.72539561634427,"[83.24934206956621, 82.01493921031555, 40.096393292303226, 44.01232428270514]",0.014112903225806451,0.006048387096774193,0.5212284922599792,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.00021864526536104814, 8.616609531536437e-05], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -4.415972334856126e-05}","{""MAE"": 0.0693349689245224, ""RMSE"": 0.10895711183547974, ""empirical_band_coverage"": 1.0, ""sign_agreement"": 0.5080645161290323}"
clean,selector_utility,11,62.21687842703445,78.4268144570375,69.57329330690303,"[83.25543862645765, 82.0811441401569, 39.46431240660015, 44.06661853492311]",0.25806451612903225,0.1310483870967742,0.5206757187843323,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.0018675030398189576, 0.0008936443545967557], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.000356072407228057}","{""MAE"": 0.0693349689245224, ""RMSE"": 0.10895711183547974, ""empirical_band_coverage"": 1.0, ""sign_agreement"": 0.5080645161290323}"
clean,selector_zero,11,62.23473469682046,78.46987485355595,69.77671439330287,"[83.20833880384643, 82.01603169951787, 39.55357914305502, 44.16098914086257]",0.2721774193548387,0.14919354838709678,0.52253258228302,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [0.00014700383861672203, 0.0013318549910272268], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": 0.0007056614807274697}",
clean,selector_permuted,11,62.338123801992126,78.62526416510116,69.85498478846137,"[83.22510344578893, 82.09384749739996, 39.958387445635765, 44.075156819143885]",0.2610887096774194,0.14516129032258066,0.5227002501487732,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-4.9669400982136995e-05, 0.002321859066483947], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": 0.0010147515167177486}",
clean,confidence,,61.78948745881993,77.9286612239771,69.22906997161238,"[83.13520117063722, 82.10200798389823, 37.56026785242615, 44.36047282831808]",0.7086693548387096,0.3588709677419355,0.5177021026611328,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.005821412928529663, 0.005574736263117102], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.00021255309855711764}",
clean,positive_mean,23,62.11876607832697,78.38083924366235,69.5060344882478,"[83.16782849994433, 82.06934117901218, 38.977056413462044, 44.26083822088928]",0.41330645161290325,0.1844758064516129,0.5155236721038818,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.006332034356504434, 0.00022279604959803514], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.003639660229535559}","{""MAE"": 0.06447780877351761, ""RMSE"": 0.10621347278356552, ""empirical_band_coverage"": 1.0, ""sign_agreement"": 0.5413306451612904}"
clean,fitting_RMS_margin,23,62.3315701621283,78.59198877894896,69.7128811547849,"[83.26581795933281, 82.01019575640713, 40.095397442923556, 43.95486948984973]",0.01310483870967742,0.007056451612903226,0.5213555097579956,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.00021017323897135325, 0.00039647102700814064], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": 8.035196979845826e-05}","{""MAE"": 0.06447780877351761, ""RMSE"": 0.10621347278356552, ""empirical_band_coverage"": 1.0, ""sign_agreement"": 0.5413306451612904}"
clean,selector_utility,23,62.22240358822292,78.64164926656497,69.46055448710446,"[83.23429321436299, 82.11485744806389, 39.26719465570596, 44.27326903475885]",0.2590725806451613,0.12600806451612903,0.5189944505691528,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.002606383032597183, -5.4558653157032104e-05], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.0013208207802008684}","{""MAE"": 0.06447780877351761, ""RMSE"": 0.10621347278356552, ""empirical_band_coverage"": 1.0, ""sign_agreement"": 0.5413306451612904}"
clean,selector_zero,23,62.323066485476375,78.65438074007645,69.80302176012445,"[83.2427153604485, 81.96190244062713, 39.84120042589398, 44.24644771493592]",0.2701612903225806,0.14516129032258066,0.5220546722412109,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [0.0, 0.0010613903805828252], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": 0.00048210945099890954}",
clean,selector_permuted,23,62.31119251887265,78.6388327589158,69.79208814759926,"[83.2422103116199, 81.91941468119848, 39.85419111462851, 44.22895396804366]",0.2661290322580645,0.14213709677419356,0.5223334431648254,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [0.0, 0.0014579025569204534], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": 0.0007099372314287592}",
clean,positive_mean,37,61.94845703215602,78.1817531686415,69.12335900054183,"[83.08563895159622, 82.0327585897913, 38.52684956480906, 44.14858102242748]",0.4173387096774194,0.2006048387096774,0.519538402557373,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.0050945046784601706, 0.0008531924066817498], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.0023192870457480045}","{""MAE"": 0.06840535998344421, ""RMSE"": 0.10994881391525269, ""empirical_band_coverage"": 1.0, ""sign_agreement"": 0.5131048387096774}"
clean,fitting_RMS_margin,37,62.36000572490023,78.60189252849652,69.74128727294688,"[83.23221079280259, 82.02040863653879, 40.17875791812384, 44.008645552135704]",0.03225806451612903,0.017137096774193547,0.5216357111930847,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.000656907238976864, 0.000784387930910638], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": 8.80577389814667e-05}","{""MAE"": 0.06840535998344421, ""RMSE"": 0.10994881391525269, ""empirical_band_coverage"": 1.0, ""sign_agreement"": 0.5131048387096774}"
clean,selector_utility,37,62.301722386295275,78.70504514224108,69.83944504508042,"[83.22205343585578, 82.03949249502398, 39.765307711350374, 44.18003590295098]",0.2288306451612903,0.11290322580645161,0.5197545289993286,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.002997505402002956, 7.87966735098096e-05], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.0013466425287333734}","{""MAE"": 0.06840535998344421, ""RMSE"": 0.10994881391525269, ""empirical_band_coverage"": 1.0, ""sign_agreement"": 0.5131048387096774}"
clean,selector_zero,37,62.32129220385841,78.67107645534543,69.79602927488106,"[83.24323991900427, 81.95675054563341, 39.8406334506157, 44.24454490018032]",0.25,0.13407258064516128,0.5216124057769775,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.0004507883103304814, 0.0007019534740330918], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": 0.0001004576902407393}",
clean,selector_permuted,37,62.34580728424787,78.69439060306918,69.80826789117135,"[83.242786038393, 82.01637583312427, 39.87826402560792, 44.24580323986626]",0.24294354838709678,0.12903225806451613,0.5212901830673218,"{""draws"": 2000, ""estimand"": ""equal-recording mean frame-risk difference; not AP"", ""pointwise_95_interval"": [-0.0010327318328554145, 0.0004169309872405645], ""recordings"": 8, ""seed"": 9132026, ""sequence_mean"": -0.00016716711676076148}",
