condition,method,controller_runs,AP_percent,AP50_percent,AP75_percent
clean,confidence,1,"{""SD"": null, ""all_values"": [61.78948745881993], ""mean"": 61.78948745881993}","{""SD"": null, ""all_values"": [77.9286612239771], ""mean"": 77.9286612239771}","{""SD"": null, ""all_values"": [69.22906997161238], ""mean"": 69.22906997161238}"
clean,cure,1,"{""SD"": null, ""all_values"": [61.46852524609443], ""mean"": 61.46852524609443}","{""SD"": null, ""all_values"": [77.5433292753851], ""mean"": 77.5433292753851}","{""SD"": null, ""all_values"": [69.44618300991094], ""mean"": 69.44618300991094}"
clean,fitting_RMS_margin,5,"{""SD"": 0.012661872577223178, ""all_values"": [62.343249713722535, 62.3315701621283, 62.36000572490023, 62.36027755489341, 62.340385401134256], ""mean"": 62.347097711355744}","{""SD"": 0.017143400655694804, ""all_values"": [78.61998677035635, 78.59198877894896, 78.60189252849652, 78.63466037330032, 78.60119115804535], ""mean"": 78.60994392182951}","{""SD"": 0.013011219900620695, ""all_values"": [69.72539561634427, 69.7128811547849, 69.74128727294688, 69.73024139280942, 69.70937396860941], ""mean"": 69.72383588109896}"
clean,modality_dropout,1,"{""SD"": null, ""all_values"": [61.74123413987785], ""mean"": 61.74123413987785}","{""SD"": null, ""all_values"": [77.73473188998724], ""mean"": 77.73473188998724}","{""SD"": null, ""all_values"": [68.36204790362369], ""mean"": 68.36204790362369}"
clean,positive_mean,5,"{""SD"": 0.0656783610637136, ""all_values"": [62.047194236954525, 62.11876607832697, 61.94845703215602, 62.00720493420033, 62.079284468232], ""mean"": 62.04018134997396}","{""SD"": 0.1239201023743096, ""all_values"": [78.22572513586974, 78.38083924366235, 78.1817531686415, 78.05537383573592, 78.30636728294574], ""mean"": 78.23001173337106}","{""SD"": 0.1513274213214185, ""all_values"": [69.29641756188963, 69.5060344882478, 69.12335900054183, 69.38364307841549, 69.19538932123996], ""mean"": 69.30096869006695}"
clean,selector_permuted,5,"{""SD"": 0.016114509725959777, ""all_values"": [62.338123801992126, 62.31119251887265, 62.34580728424787, 62.323033700909356, 62.30949432988445], ""mean"": 62.3255303271813}","{""SD"": 0.04074325304069446, ""all_values"": [78.62526416510116, 78.6388327589158, 78.69439060306918, 78.63278939200778, 78.58021954191739], ""mean"": 78.63429929220226}","{""SD"": 0.02322545749686273, ""all_values"": [69.85498478846137, 69.79208814759926, 69.80826789117135, 69.81488413276294, 69.82185070624145], ""mean"": 69.81841513324727}"
clean,selector_utility,5,"{""SD"": 0.07362397462147006, ""all_values"": [62.21687842703445, 62.22240358822292, 62.301722386295275, 62.36982231057734, 62.36330316373565], ""mean"": 62.294825975173126}","{""SD"": 0.14818203546548886, ""all_values"": [78.4268144570375, 78.64164926656497, 78.70504514224108, 78.6952972514738, 78.83275689124457], ""mean"": 78.66031260171238}","{""SD"": 0.1545847270755464, ""all_values"": [69.57329330690303, 69.46055448710446, 69.83944504508042, 69.78714973204785, 69.67082074928591], ""mean"": 69.66625266408434}"
clean,selector_zero,5,"{""SD"": 0.046934206692831895, ""all_values"": [62.23473469682046, 62.323066485476375, 62.32129220385841, 62.3271926902528, 62.24202390348002], ""mean"": 62.28966199597761}","{""SD"": 0.08714652816140525, ""all_values"": [78.46987485355595, 78.65438074007645, 78.67107645534543, 78.6249636080781, 78.52668238853349], ""mean"": 78.58939560911787}","{""SD"": 0.16415351993954716, ""all_values"": [69.77671439330287, 69.80302176012445, 69.79602927488106, 69.83788327520249, 69.4396989913155], ""mean"": 69.73066953896527}"
clean,task_only,1,"{""SD"": null, ""all_values"": [62.32842133589812], ""mean"": 62.32842133589812}","{""SD"": null, ""all_values"": [78.5763299149019], ""mean"": 78.5763299149019}","{""SD"": null, ""all_values"": [69.67570609737066], ""mean"": 69.67570609737066}"
camera_removed,confidence,1,"{""SD"": null, ""all_values"": [0.007451419855697171], ""mean"": 0.007451419855697171}","{""SD"": null, ""all_values"": [0.042394577411693994], ""mean"": 0.042394577411693994}","{""SD"": null, ""all_values"": [0.0006526962599520031], ""mean"": 0.0006526962599520031}"
camera_removed,cure,1,"{""SD"": null, ""all_values"": [0.0302036484318159], ""mean"": 0.0302036484318159}","{""SD"": null, ""all_values"": [0.1944402940933885], ""mean"": 0.1944402940933885}","{""SD"": null, ""all_values"": [0.00038252119133091826], ""mean"": 0.00038252119133091826}"
camera_removed,fitting_RMS_margin,5,"{""SD"": 0.0031451027148797213, ""all_values"": [0.011961285764493287, 0.006901799303634008, 0.008281046293214888, 0.013583365777199543, 0.006566249195874865], ""mean"": 0.009458749266883318}","{""SD"": 0.02219621397796173, ""all_values"": [0.07693017625098546, 0.042201723727949815, 0.04967527712933852, 0.08907002076607745, 0.03958178515569036], ""mean"": 0.05949179660600832}","{""SD"": 0.00021509040588306072, ""all_values"": [0.00028418236303485577, 0.0006061979652142396, 0.0007852620488010361, 0.00029513400127032484, 0.0005640143377201307], ""mean"": 0.0005069581432081174}"
camera_removed,modality_dropout,1,"{""SD"": null, ""all_values"": [0.07357247999600824], ""mean"": 0.07357247999600824}","{""SD"": null, ""all_values"": [0.41342810770682814], ""mean"": 0.41342810770682814}","{""SD"": null, ""all_values"": [0.0004929668144731084], ""mean"": 0.0004929668144731084}"
