contrast,omitted_recording,remaining_recordings,remaining_objects,CURE,baseline_error,difference_CURE_minus_baseline,relative_error_reduction_percent
camera_removal/RMSE/CURE_vs_fit_global_mean,Dataset_2024-03-19-15-35-57,7,2424,1.7083631533649923,3.122787546969273,-1.4144243936042808,45.293647817220474
camera_removal/RMSE/CURE_vs_fit_global_mean,Dataset_2024-03-21-16-07-05,7,2353,1.7405452111438566,3.1499860145083605,-1.4094408033645038,44.74435114546008
camera_removal/RMSE/CURE_vs_fit_global_mean,Dataset_2024-03-21-16-12-18,7,2350,1.7351115690204393,3.030282280469123,-1.295170711448684,42.74092614395568
camera_removal/RMSE/CURE_vs_fit_global_mean,Dataset_2024-07-24-14-41-29,7,2475,1.6744659191012088,3.066972551613369,-1.3925066325121602,45.40329621729538
camera_removal/RMSE/CURE_vs_fit_global_mean,Dataset_2024-07-24-14-54-03,7,2493,1.7074959412844974,3.0976486622063035,-1.390152720921806,44.87767569907907
camera_removal/RMSE/CURE_vs_fit_global_mean,Dataset_2024-07-29-21-21-31,7,883,1.712482156305769,3.1217877175149735,-1.4093055612092045,45.14418303660472
camera_removal/RMSE/CURE_vs_fit_global_mean,Dataset_2024-08-05-11-13-52,7,2477,1.694480332916121,3.08603690882626,-1.391556575910139,45.09202634389108
camera_removal/RMSE/CURE_vs_fit_global_mean,Dataset_2024-08-05-11-23-01,7,2192,1.6432096928151212,3.0900077658314786,-1.4467980730163574,46.821826437288706
camera_removal/MAE/CURE_vs_fit_global_mean,Dataset_2024-03-19-15-35-57,7,2424,1.272098690369735,2.627686422963466,-1.355587732593731,51.58864165629471
camera_removal/MAE/CURE_vs_fit_global_mean,Dataset_2024-03-21-16-07-05,7,2353,1.3021304636775712,2.6567452810930434,-1.3546148174154722,50.98775660036756
camera_removal/MAE/CURE_vs_fit_global_mean,Dataset_2024-03-21-16-12-18,7,2350,1.300340501907024,2.5245675077727454,-1.2242270058657214,48.49254385539382
camera_removal/MAE/CURE_vs_fit_global_mean,Dataset_2024-07-24-14-41-29,7,2475,1.2585556024493594,2.5841894935743834,-1.325633891125024,51.29785932576647
camera_removal/MAE/CURE_vs_fit_global_mean,Dataset_2024-07-24-14-54-03,7,2493,1.2775282490650335,2.6075611984954348,-1.3300329494304013,51.006777911783296
camera_removal/MAE/CURE_vs_fit_global_mean,Dataset_2024-07-29-21-21-31,7,883,1.2749887525292782,2.682022291404679,-1.4070335388754007,52.46166459483388
camera_removal/MAE/CURE_vs_fit_global_mean,Dataset_2024-08-05-11-13-52,7,2477,1.2658652439202134,2.592783825128816,-1.3269185812086028,51.17737037497441
camera_removal/MAE/CURE_vs_fit_global_mean,Dataset_2024-08-05-11-23-01,7,2192,1.2255837718283173,2.6018758965666966,-1.3762921247383793,52.89614798901303
radar_thinning/RMSE/CURE_vs_fit_global_mean,Dataset_2024-03-19-15-35-57,7,2424,0.02019679307440199,0.020674064209732404,-0.0004772711353304149,2.3085501258419128
radar_thinning/RMSE/CURE_vs_fit_global_mean,Dataset_2024-03-21-16-07-05,7,2353,0.025107796375895226,0.025647618136600325,-0.000539821760705099,2.104763716575886
radar_thinning/RMSE/CURE_vs_fit_global_mean,Dataset_2024-03-21-16-12-18,7,2350,0.02510368102994577,0.025644909836087866,-0.0005412288061420953,2.1104726419449937
radar_thinning/RMSE/CURE_vs_fit_global_mean,Dataset_2024-07-24-14-41-29,7,2475,0.02428067675024356,0.024842723658389493,-0.0005620469081459335,2.262420642255658
radar_thinning/RMSE/CURE_vs_fit_global_mean,Dataset_2024-07-24-14-54-03,7,2493,0.024402799678300648,0.024945805553775582,-0.0005430058754749348,2.1767421954138944
radar_thinning/RMSE/CURE_vs_fit_global_mean,Dataset_2024-07-29-21-21-31,7,883,0.02975716489577271,0.030145762268381567,-0.0003885973726088579,1.2890613584398802
radar_thinning/RMSE/CURE_vs_fit_global_mean,Dataset_2024-08-05-11-13-52,7,2477,0.024425325994179306,0.024966228728261403,-0.0005409027340820965,2.1665376055367225
radar_thinning/RMSE/CURE_vs_fit_global_mean,Dataset_2024-08-05-11-23-01,7,2192,0.02374581020412143,0.02445947170989479,-0.0007136615057733581,2.9177306617160337
radar_thinning/MAE/CURE_vs_fit_global_mean,Dataset_2024-03-19-15-35-57,7,2424,0.006983212400600468,0.009088435087114759,-0.002105222686514291,23.163753345160565
radar_thinning/MAE/CURE_vs_fit_global_mean,Dataset_2024-03-21-16-07-05,7,2353,0.007745169723961349,0.00982390703663607,-0.002078737312674722,21.159985583358377
radar_thinning/MAE/CURE_vs_fit_global_mean,Dataset_2024-03-21-16-12-18,7,2350,0.007644444170724997,0.009777561806143897,-0.0021331176354189,21.816457698876622
radar_thinning/MAE/CURE_vs_fit_global_mean,Dataset_2024-07-24-14-41-29,7,2475,0.007234082367327629,0.009372407869644214,-0.002138325502316585,22.815113597886537
radar_thinning/MAE/CURE_vs_fit_global_mean,Dataset_2024-07-24-14-54-03,7,2493,0.007430673716888669,0.00953094104180462,-0.002100267324915951,22.036305918835897
radar_thinning/MAE/CURE_vs_fit_global_mean,Dataset_2024-07-29-21-21-31,7,883,0.007292060878935733,0.009411656602402898,-0.002119595723467165,22.520963237502833
radar_thinning/MAE/CURE_vs_fit_global_mean,Dataset_2024-08-05-11-13-52,7,2477,0.007391569318646865,0.009496426182543321,-0.0021048568638964565,22.16472621843448
radar_thinning/MAE/CURE_vs_fit_global_mean,Dataset_2024-08-05-11-23-01,7,2192,0.0071126112420609846,0.009351424140534678,-0.0022388128984736936,23.940876435807635
camera_removal/RMSE/CURE_vs_fit_global_median,Dataset_2024-03-19-15-35-57,7,2424,1.7083631533649923,3.1288710235248396,-1.4205078701598473,45.40001359850141
camera_removal/RMSE/CURE_vs_fit_global_median,Dataset_2024-03-21-16-07-05,7,2353,1.7405452111438566,3.1735546561953023,-1.4330094450514457,45.154711366132446
camera_removal/RMSE/CURE_vs_fit_global_median,Dataset_2024-03-21-16-12-18,7,2350,1.7351115690204393,3.069390255837405,-1.3342786868169656,43.47048031052479
camera_removal/RMSE/CURE_vs_fit_global_median,Dataset_2024-07-24-14-41-29,7,2475,1.6744659191012088,3.082878418705812,-1.408412499604603,45.684983587379115
camera_removal/RMSE/CURE_vs_fit_global_median,Dataset_2024-07-24-14-54-03,7,2493,1.7074959412844974,3.108315651393274,-1.4008197101087767,45.06684221343067
camera_removal/RMSE/CURE_vs_fit_global_median,Dataset_2024-07-29-21-21-31,7,883,1.712482156305769,3.048649042264641,-1.3361668859588718,43.828163472904095
camera_removal/RMSE/CURE_vs_fit_global_median,Dataset_2024-08-05-11-13-52,7,2477,1.694480332916121,3.099570985449004,-1.405090652532883,45.33177846641062
camera_removal/RMSE/CURE_vs_fit_global_median,Dataset_2024-08-05-11-23-01,7,2192,1.6432096928151212,3.105651665117901,-1.46244197230278,47.08969742900193
camera_removal/MAE/CURE_vs_fit_global_median,Dataset_2024-03-19-15-35-57,7,2424,1.272098690369735,2.628158257936094,-1.3560595675663587,51.59733297915169
camera_removal/MAE/CURE_vs_fit_global_median,Dataset_2024-03-21-16-07-05,7,2353,1.3021304636775712,2.6806970986213474,-1.3785666349437762,51.42567713647161
