method,population,AP_mean_percent,AP_sample_SD_percent,training_seeds
camera_only,all,38.06655484707589,0.49718369820918934,5
camera_only,natural_adverse,33.371004233602726,0.8006517863325497,5
concat_fusion,all,38.05038427599736,0.6154785054122769,5
concat_fusion,natural_adverse,33.28692286878196,0.6449519629375993,5
confidence_gate,all,37.33631042159713,0.7606743469428607,5
confidence_gate,natural_adverse,34.198791454005,0.7476160559706089,5
cross_attention,all,37.29278848811154,0.41444714962930296,5
cross_attention,natural_adverse,33.18460634313648,0.4716250945502734,5
cure_without_signed_negative,all,37.501167556745,0.5710278223498968,5
cure_without_signed_negative,natural_adverse,34.01404647355946,0.29965679250157307,5
cure_without_temporal,all,38.125328882725654,0.417625084156107,5
cure_without_temporal,natural_adverse,34.266399841924134,0.4738289155047793,5
cure_without_uncertainty,all,37.43078995904307,0.5861834104148861,5
cure_without_uncertainty,natural_adverse,33.802575115436106,0.9032960804302919,5
matched_corruption_fusion,all,37.5376868831126,0.355896771090771,5
matched_corruption_fusion,natural_adverse,33.90820367105419,0.12366641604809965,5
modality_dropout,all,39.01354015846278,0.5860678299168183,5
modality_dropout,natural_adverse,35.118897011316584,0.5227431967262895,5
radar_only,all,0.3041729964512388,0.012466851329654043,5
radar_only,natural_adverse,0.3024382214315487,0.014810700274913439,5
task_only_residual_controller,all,36.55524072505793,0.331258207416185,5
task_only_residual_controller,natural_adverse,33.28989437138168,0.6251590887415388,5
