frames,class_name,GT,AP50_percent,AP75_percent,median_matched_IoU,assigned_GT,class_gate,combined_stage_gate,invalid_selected_records,empty_frames
1,person,1,99.99999999999999,99.99999999999999,0.998563170406229,1,True,True,0,0
1,bicycle,1,99.99999999999999,99.99999999999999,0.9985707192384325,1,True,True,0,0
1,slidecar,0,,,,0,,True,0,0
1,doll,0,,,,0,,True,0,0
8,person,6,100.0,100.0,0.9973103566940531,6,True,True,0,3
8,bicycle,4,100.0,100.0,0.9963698513660162,4,True,True,0,3
8,slidecar,2,100.0,100.0,0.9970854140796452,2,True,True,0,3
8,doll,2,100.0,100.0,0.9952852756758745,2,True,True,0,3
32,person,34,100.0,100.0,0.9928541411144511,34,True,True,0,8
32,bicycle,14,100.0,100.0,0.9943311524690358,14,True,True,0,8
32,slidecar,8,100.0,100.0,0.990618505754719,8,True,True,0,8
32,doll,11,100.0,100.0,0.9925033201492744,11,True,True,0,8
128,person,118,100.0,100.0,0.9937741425427313,118,True,True,0,31
128,bicycle,57,100.0,100.0,0.9911124224853032,57,True,True,0,31
128,slidecar,33,100.0,100.0,0.9922391343912244,33,True,True,0,31
128,doll,37,100.0,100.0,0.9893242343857793,37,True,True,0,31
