contrast,omitted_recording_index,objects,CURE_error,baseline_error,CURE_minus_baseline,percent_error_reduction
camera_removal/RMSE/CURE_vs_trained_on_CURE_features,0,2424,1.7083631533649923,1.7022579508104965,0.00610520255449587,-0.35865319657275574
camera_removal/RMSE/CURE_vs_trained_on_CURE_features,1,2353,1.7405452111438566,1.7370014633433595,0.0035437478004971545,-0.20401524554136685
camera_removal/RMSE/CURE_vs_trained_on_CURE_features,2,2350,1.7351115690204393,1.7263703293270087,0.008741239693430547,-0.5063363025265888
camera_removal/RMSE/CURE_vs_trained_on_CURE_features,3,2475,1.6744659191012088,1.6692320838995947,0.005233835201614134,-0.31354748402552257
camera_removal/RMSE/CURE_vs_trained_on_CURE_features,4,2493,1.7074959412844974,1.700534379856534,0.0069615614279634475,-0.40937493004702397
camera_removal/RMSE/CURE_vs_trained_on_CURE_features,5,883,1.712482156305769,1.6815666978421715,0.030915458463597556,-1.8384913606619868
camera_removal/RMSE/CURE_vs_trained_on_CURE_features,6,2477,1.694480332916121,1.6884523100712205,0.00602802284490056,-0.35701469380833295
camera_removal/RMSE/CURE_vs_trained_on_CURE_features,7,2192,1.6432096928151212,1.6393975636336462,0.003812129181474999,-0.23253231955679965
camera_removal/MAE/CURE_vs_trained_on_CURE_features,0,2424,1.272098690369735,1.2668949229882496,0.005203767381485536,-0.4107497225745771
camera_removal/MAE/CURE_vs_trained_on_CURE_features,1,2353,1.3021304636775712,1.3024418288172939,-0.00031136513972263025,0.023906260750650166
camera_removal/MAE/CURE_vs_trained_on_CURE_features,2,2350,1.300340501907024,1.2935372297814551,0.00680327212556886,-0.525943279322405
camera_removal/MAE/CURE_vs_trained_on_CURE_features,3,2475,1.2585556024493594,1.2538254707028167,0.004730131746542687,-0.37725599432043566
camera_removal/MAE/CURE_vs_trained_on_CURE_features,4,2493,1.2775282490650335,1.2719063364833032,0.005621912581730282,-0.44200680667054737
camera_removal/MAE/CURE_vs_trained_on_CURE_features,5,883,1.2749887525292782,1.2534329329584626,0.02155581957081565,-1.7197425569422053
camera_removal/MAE/CURE_vs_trained_on_CURE_features,6,2477,1.2658652439202134,1.262009192340837,0.003856051579376407,-0.3055486127025775
camera_removal/MAE/CURE_vs_trained_on_CURE_features,7,2192,1.2255837718283173,1.2191416963826132,0.006442075445704187,-0.5284107224631018
radar_thinning/RMSE/CURE_vs_trained_on_CURE_features,0,2424,0.02019679307440199,0.020259994935781886,-6.32018613798968e-05,0.3119539840963803
radar_thinning/RMSE/CURE_vs_trained_on_CURE_features,1,2353,0.025107796375895223,0.02521879911262183,-0.00011100273672660574,0.4401586936431445
radar_thinning/RMSE/CURE_vs_trained_on_CURE_features,2,2350,0.02510368102994577,0.025202253768841835,-9.857273889606402e-05,0.3911266817649972
radar_thinning/RMSE/CURE_vs_trained_on_CURE_features,3,2475,0.024280676750243556,0.024390849000184678,-0.00011017224994112201,0.45169501865346406
radar_thinning/RMSE/CURE_vs_trained_on_CURE_features,4,2493,0.024402799678300648,0.024510488363798037,-0.00010768868549738964,0.4393575676625239
radar_thinning/RMSE/CURE_vs_trained_on_CURE_features,5,883,0.02975716489577271,0.029944394875948275,-0.00018722998017556627,0.6252588537895343
radar_thinning/RMSE/CURE_vs_trained_on_CURE_features,6,2477,0.024425325994179306,0.024530237100529588,-0.00010491110635028195,0.4276807677004335
radar_thinning/RMSE/CURE_vs_trained_on_CURE_features,7,2192,0.02374581020412143,0.02386188877551775,-0.00011607857139631778,0.48646011423627566
radar_thinning/MAE/CURE_vs_trained_on_CURE_features,0,2424,0.006983212400600468,0.007248854640469404,-0.0002656422398689363,3.664609832095278
radar_thinning/MAE/CURE_vs_trained_on_CURE_features,1,2353,0.007745169723961349,0.00802402253430123,-0.0002788528103398816,3.4752246662797415
radar_thinning/MAE/CURE_vs_trained_on_CURE_features,2,2350,0.007644444170724997,0.007863346598348878,-0.00021890242762388074,2.7838328742859297
radar_thinning/MAE/CURE_vs_trained_on_CURE_features,3,2475,0.007234082367327629,0.007506406953031517,-0.00027232458570388817,3.627895308738993
radar_thinning/MAE/CURE_vs_trained_on_CURE_features,4,2493,0.007430673716888669,0.007692316460273368,-0.0002616427433846996,3.4013517870194465
radar_thinning/MAE/CURE_vs_trained_on_CURE_features,5,883,0.007292060878935733,0.0076714662462156495,-0.00037940536727991674,4.94566951222758
radar_thinning/MAE/CURE_vs_trained_on_CURE_features,6,2477,0.007391569318646865,0.0076575294193587246,-0.00026596010071185984,3.4731841844380718
radar_thinning/MAE/CURE_vs_trained_on_CURE_features,7,2192,0.0071126112420609846,0.007343042347547055,-0.0002304311054860701,3.138087656038724
camera_removal/RMSE/CURE_vs_trained_on_Task_features,0,2424,1.7083631533649923,1.8570768471893302,-0.14871369382433786,8.007945069662291
camera_removal/RMSE/CURE_vs_trained_on_Task_features,1,2353,1.7405452111438566,1.8835715543268392,-0.14302634318298257,7.593358630545788
camera_removal/RMSE/CURE_vs_trained_on_Task_features,2,2350,1.7351115690204393,1.8896475896964124,-0.15453602067597316,8.178033910587567
camera_removal/RMSE/CURE_vs_trained_on_Task_features,3,2475,1.6744659191012088,1.8094974158981538,-0.13503149679694504,7.462375774099761
camera_removal/RMSE/CURE_vs_trained_on_Task_features,4,2493,1.7074959412844974,1.8493632136628515,-0.14186727237835406,7.671141684351534
camera_removal/RMSE/CURE_vs_trained_on_Task_features,5,883,1.712482156305769,1.8261990141982432,-0.1137168578924741,6.226969624249811
camera_removal/RMSE/CURE_vs_trained_on_Task_features,6,2477,1.694480332916121,1.8288839988290608,-0.13440366591293973,7.348944274157976
camera_removal/RMSE/CURE_vs_trained_on_Task_features,7,2192,1.6432096928151212,1.7847546092591016,-0.14154491644398037,7.930777469892025
camera_removal/MAE/CURE_vs_trained_on_Task_features,0,2424,1.272098690369735,1.414514680310051,-0.1424159899403159,10.068187479616642
camera_removal/MAE/CURE_vs_trained_on_Task_features,1,2353,1.3021304636775712,1.4375938692348236,-0.13546340555725234,9.422925935915016
camera_removal/MAE/CURE_vs_trained_on_Task_features,2,2350,1.300340501907024,1.4498645342157241,-0.14952403230870015,10.31296571369561
camera_removal/MAE/CURE_vs_trained_on_Task_features,3,2475,1.2585556024493594,1.3842712201975813,-0.12571561774822193,9.0817186627833
camera_removal/MAE/CURE_vs_trained_on_Task_features,4,2493,1.2775282490650335,1.4088386764403955,-0.13131042737536203,9.320472923637645
camera_removal/MAE/CURE_vs_trained_on_Task_features,5,883,1.2749887525292782,1.336015787967064,-0.06102703543778576,4.5678378943894815
